loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),label(N)
2023-02-18T22:08:02.763Z,1056,2018968.192456667,-0.45440673828125,0.90673828125,0.46112060546875,2018968.173467667,2.634619235992432,0.7326659560203552,0.1533488035202026,2018968.172247667,133.2436676025391,132.5621337890625,-461.3249816894531,3
2023-02-18T22:08:02.784Z,1057,2018968.212476667,-0.601806640625,0.856353759765625,0.3888397216796875,2018968.193456667,2.685158014297485,0.6231309771537781,-0.1458477526903152,2018968.191961667,132.8004608154297,132.655029296875,-462.8264770507812,3
2023-02-18T22:08:02.804Z,1058,2018968.232495667,-0.740020751953125,0.7904510498046875,0.5399169921875,2018968.213476667,2.723137855529785,0.6029074192047119,-0.2258584350347519,2018968.211675667,132.5674285888672,132.3655853271484,-464.594482421875,3
2023-02-18T22:08:02.825Z,1059,2018968.252485667,-0.745880126953125,0.74896240234375,0.4962310791015625,2018968.233495667,2.598241090774536,0.7904432415962219,-0.08972695469856262,2018968.231390667,131.9051971435547,131.9687652587891,-466.3923950195312,3
2023-02-18T22:08:02.843Z,1060,2018968.272504667,-0.6561126708984375,0.8881072998046875,0.3656005859375,2018968.253485667,2.437102079391479,1.05942702293396,0.04710972309112549,2018968.251074667,132.0385131835938,131.9653472900391,-467.9835205078125,3
2023-02-18T22:08:02.864Z,1061,2018968.292524667,-0.4889373779296875,0.9659576416015625,0.3125152587890625,2018968.273504667,2.45708155632019,0.9219520092010498,0.05087143555283546,2018968.270788667,132.1334838867188,131.8098754882812,-469.8482360839844,3
2023-02-18T22:08:02.883Z,1062,2018968.312513667,-0.5346221923828125,0.9390106201171875,0.199432373046875,2018968.293524667,2.479441404342651,0.4989205896854401,-0.1070564091205597,2018968.290502667,131.9726867675781,131.2363128662109,-471.5503845214844,3
2023-02-18T22:08:02.904Z,1063,2018968.332532667,-0.6661224365234375,0.8433685302734375,0.160675048828125,2018968.313513667,2.345035076141357,0.2626294791698456,-0.1492049247026443,2018968.310217667,131.7460327148438,130.7881774902344,-472.7024230957031,3
2023-02-18T22:08:02.923Z,1064,2018968.352552667,-0.7118377685546875,0.8233795166015625,0.109283447265625,2018968.333532667,2.023882389068604,0.2216732650995255,-0.06385061889886856,2018968.329931667,131.3769226074219,130.1460723876953,-474.0857543945312,3
2023-02-18T22:08:02.943Z,1065,2018968.372541667,-0.611846923828125,0.8468780517578125,0.0443267822265625,2018968.353552667,1.587199211120605,0.3803577125072479,0.009724798612296581,2018968.349645667,131.5935211181641,129.8368225097656,-474.94775390625,3
2023-02-18T22:08:02.963Z,1066,2018968.392560667,-0.511260986328125,0.8848114013671875,0.0247955322265625,2018968.373541667,1.270156860351562,0.264644980430603,0.04031386598944664,2018968.369360667,131.6073455810547,129.5244598388672,-475.6577758789062,3
2023-02-18T22:08:02.985Z,1067,2018968.412580667,-0.540252685546875,0.820281982421875,0.0448150634765625,2018968.393560667,1.03660774230957,0.03338698670268059,-0.009827330708503723,2018968.389074667,131.8540649414062,129.4095153808594,-476.336669921875,3
2023-02-18T22:08:03.003Z,1068,2018968.432569667,-0.585418701171875,0.77459716796875,0.050262451171875,2018968.413580667,0.7021413445472717,0.09834308177232742,-0.008551144041121006,2018968.408788667,131.32421875,129.1263427734375,-476.747802734375,3
2023-02-18T22:08:03.024Z,1069,2018968.452588667,-0.5130615234375,0.84234619140625,0.06475830078125,2018968.433569667,0.3419994115829468,0.3124884068965912,0.01992257498204708,2018968.428503667,131.6462860107422,129.0298156738281,-476.9955139160156,3
2023-02-18T22:08:03.043Z,1070,2018968.472608667,-0.4758148193359375,0.871429443359375,0.14349365234375,2018968.453588667,0.2153754234313965,0.1653287708759308,0.0269466619938612,2018968.448187667,131.8370361328125,129.0717010498047,-477.071044921875,3
2023-02-18T22:08:03.064Z,1071,2018968.492597667,-0.5203399658203125,0.86773681640625,0.20831298828125,2018968.473608667,0.187762975692749,-0.1323167681694031,0.03030011430382729,2018968.467901667,131.8346252441406,129.1897125244141,-477.2389221191406,3
2023-02-18T22:08:03.083Z,1072,2018968.512616667,-0.5177459716796875,0.8368377685546875,0.17950439453125,2018968.493597667,0.02922606281936169,-0.1995120495557785,0.04300818592309952,2018968.487615667,131.8790893554688,128.9811248779297,-476.8024291992188,3
2023-02-18T22:08:03.104Z,1073,2018968.532605667,-0.51495361328125,0.886932373046875,0.1407318115234375,2018968.513616667,-0.1316355168819427,-0.2933530509471893,0.06530603766441345,2018968.507299667,131.7712249755859,129.1327667236328,-477.0136108398438,3
2023-02-18T22:08:03.123Z,1074,2018968.552625667,-0.557464599609375,0.811676025390625,0.2362518310546875,2018968.533605667,-0.2930979132652283,-0.4876575469970703,0.03468847274780273,2018968.527014667,132.0803070068359,129.3515625,-476.7947998046875,3
2023-02-18T22:08:03.144Z,1075,2018968.572644667,-0.5418701171875,0.8224334716796875,0.14556884765625,2018968.553625667,-0.7821118235588074,-0.4583047330379486,0.1292027235031128,2018968.546728667,131.8499298095703,129.1431732177734,-476.2420043945312,3
2023-02-18T22:08:03.164Z,1076,2018968.592633667,-0.49774169921875,0.8539276123046875,-0.0290985107421875,2018968.573644667,-1.338126063346863,-0.5018681883811951,0.1816528886556625,2018968.566412667,131.9710235595703,129.6893615722656,-475.6624450683594,3
2023-02-18T22:08:03.185Z,1077,2018968.612653667,-0.5,0.920074462890625,0.17095947265625,2018968.613653667,-1.678170680999756,-1.197314858436584,0.1585241258144379,2018968.586126667,132.0782012939453,130.1936187744141,-474.6589965820312,3
2023-02-18T22:08:03.204Z,1078,2018968.632672667,-0.6538848876953125,0.8004608154296875,0.31622314453125,2018968.613653667,-1.678170680999756,-1.197314858436584,0.1585241258144379,2018968.605840667,132.0672454833984,130.5744476318359,-473.2372436523438,3
2023-02-18T22:08:03.223Z,1079,2018968.652662667,-0.600830078125,0.8778228759765625,0.4480743408203125,2018968.633672667,-2.026636362075806,-0.9401538968086243,0.2468729019165039,2018968.625555667,132.2718505859375,131.0524597167969,-472.081787109375,3
2023-02-18T22:08:03.244Z,1080,2018968.672681667,-0.4460296630859375,0.990509033203125,0.4033660888671875,2018968.653662667,-2.096894979476929,-1.254778385162354,0.2681060135364532,2018968.645269667,132.6906890869141,131.6663513183594,-470.6973266601562,3
2023-02-18T22:08:03.264Z,1081,2018968.692701667,-0.588470458984375,0.9154205322265625,0.46795654296875,2018968.673681667,-2.139012813568115,-1.676749348640442,0.1940238028764725,2018968.664984667,132.8863830566406,132.0422973632812,-469.1798706054688,3
2023-02-18T22:08:03.283Z,1082,2018968.712690667,-0.723175048828125,0.826080322265625,0.5164642333984375,2018968.693701667,-2.460817337036133,-1.520058035850525,0.1868575066328049,2018968.684698667,132.9728393554688,132.0896606445312,-467.3482666015625,3
2023-02-18T22:08:03.303Z,1083,2018968.732709667,-0.593658447265625,0.880889892578125,0.6321258544921875,2018968.713690667,-2.789755582809448,-1.289471387863159,0.3530483245849609,2018968.704412667,133.2195434570312,132.2266387939453,-465.5737915039062,3
2023-02-18T22:08:03.323Z,1084,2018968.752729667,-0.5217132568359375,0.9183349609375,0.7029876708984375,2018968.733709667,-2.930675268173218,-1.369364142417908,0.3245578408241272,2018968.724127667,133.8825836181641,132.6024932861328,-463.4798583984375,3
2023-02-18T22:08:03.344Z,1085,2018968.772718667,-0.45916748046875,0.8805694580078125,0.7753448486328125,2018968.753729667,-3.027942657470703,-1.407559990882874,0.1625913083553314,2018968.763525667,134.4175262451172,132.2751007080078,-459.1859130859375,3
2023-02-18T22:08:03.363Z,1086,2018968.792737667,-0.51678466796875,0.792877197265625,0.8090972900390625,2018968.773718667,-3.143062591552734,-1.424673676490784,0.005417402368038893,2018968.783239667,134.8575439453125,132.0151519775391,-456.7369384765625,3
2023-02-18T22:08:03.384Z,1087,2018968.812726667,-0.500518798828125,0.7371978759765625,0.8614501953125,2018968.793737667,-3.312195301055908,-1.331974148750305,-0.03631166741251945,2018968.802954667,135.5689086914062,131.2500152587891,-454.4830932617188,3
2023-02-18T22:08:03.404Z,1088,2018968.832746667,-0.45208740234375,0.7032012939453125,0.95208740234375,2018968.813726667,-3.299202680587769,-1.587038636207581,-0.009586847387254238,2018968.822668667,135.8949890136719,130.6242065429688,-452.0057373046875,3
2023-02-18T22:08:03.424Z,1089,2018968.852765667,-0.506103515625,0.5922698974609375,1.046340942382812,2018968.833746667,-3.356722831726074,-1.663453817367554,-0.0448463000357151,2018968.842382667,136.5990753173828,129.6529541015625,-449.4333801269531,3
2023-02-18T22:08:03.444Z,1090,2018968.872754667,-0.421905517578125,0.5587921142578125,1.040802001953125,2018968.853765667,-3.532515287399292,-1.470791459083557,-0.01620267145335674,2018968.862097667,137.1424560546875,128.3879241943359,-447.12353515625,3
2023-02-18T22:08:03.464Z,1091,2018968.892774667,-0.299957275390625,0.499664306640625,1.040420532226562,2018968.873754667,-3.594094276428223,-1.505982160568237,-0.009992446750402451,2018968.881811667,138.0277862548828,127.2386627197266,-444.604248046875,3
2023-02-18T22:08:03.483Z,1092,2018968.912793667,-0.3729400634765625,0.3848876953125,1.0504150390625,2018968.893774667,-3.614497423171997,-1.721719026565552,-0.01653183810412884,2018968.901495667,139.0891571044922,125.7117462158203,-442.1949768066406,3
2023-02-18T22:08:03.504Z,1093,2018968.932782667,-0.359222412109375,0.3612060546875,1.124786376953125,2018968.913793667,-3.783523559570312,-1.589486360549927,0.02349600568413734,2018968.921209667,139.9596099853516,123.7146148681641,-439.6656799316406,3
2023-02-18T22:08:03.524Z,1094,2018968.952802667,-0.219482421875,0.32275390625,1.098831176757812,2018968.933782667,-3.96478271484375,-1.359283804893494,-0.04963066801428795,2018968.940923667,140.8972015380859,121.7664947509766,-437.5183715820312,3
